film_title,person_name,role,credit_order,added_at,removed_at,survival_hours,outcome
Người Mẹ Xấu,Hồng Đào,cast,2,2026-08-13T08:00:55.548133+00:00,,,attached
Người Mẹ Xấu,Kim Phương,cast,4,2026-08-13T08:00:55.548133+00:00,,,attached
Người Mẹ Xấu,Ngô Phạm Hạnh Thúy,cast,3,2026-08-13T08:00:55.548133+00:00,,,attached
The Hunger Games: Sunrise on the Reaping,Whitney Peak,cast,4,2026-08-13T09:00:28.351368+00:00,,,attached
Miami Vice '85,Alden Ehrenreich,cast,2,2026-08-13T09:02:20.925149+00:00,,,attached
Falling House,Mohsen Gharaie,writer,,2026-08-13T09:03:02.703024+00:00,,,attached
Falling House,Amir Mohammad Abdi,writer,,2026-08-13T09:03:02.703024+00:00,,,attached
Furies,Issam Bou Khaled,cast,3,2026-08-13T09:03:50.119193+00:00,,,attached
Furies,Hasan Akil,cast,2,2026-08-13T09:03:50.119193+00:00,,,attached
Furies,Maria Nakouzi,cast,0,2026-08-13T09:03:50.119193+00:00,,,attached
Furies,Rym Mroue,cast,1,2026-08-13T09:03:50.119193+00:00,,,attached
Seyon,Seeman,cast,3,2026-08-13T09:03:52.185783+00:00,,,attached
Dominion of Darkness: Rephaim,Andri Cahyadi,writer,,2026-08-13T09:04:19.080691+00:00,,,attached
Final Invasion,Anthony Michael Hall,cast,2,2026-08-14T07:57:32.944185+00:00,,,attached
Final Invasion,Claire Forlani,cast,3,2026-08-14T07:57:32.944185+00:00,,,attached
Final Invasion,Stephen Lang,cast,1,2026-08-14T07:57:32.944185+00:00,,,attached
Final Invasion,Emile Hirsch,cast,0,2026-08-14T07:57:32.944185+00:00,,,attached
Between 2 Families,Fatih Artman,cast,4,2026-08-14T07:58:43.475545+00:00,,,attached
Untitled Ron Howard Firefighter Film,D.C. Shen,writer,,2026-08-14T07:59:13.741888+00:00,2026-08-19T09:24:37.577180+00:00,121.423288,reverted
Untitled Ron Howard Firefighter Film,Alan Bell,cast,,2026-08-14T07:59:13.741888+00:00,2026-08-19T09:24:37.577180+00:00,121.423288,reverted
Untitled Ron Howard Firefighter Film,Jack Black,cast,,2026-08-14T07:59:13.741888+00:00,2026-08-19T09:24:37.577180+00:00,121.423288,reverted
Toy Story 6,Tom Hanks,cast,0,2026-08-14T08:03:26.209183+00:00,,,attached
Toy Story 6,Tim Allen,cast,2,2026-08-14T08:03:26.209183+00:00,,,attached
Toy Story 6,Tony Hale,cast,3,2026-08-14T08:03:26.209183+00:00,,,attached
Toy Story 6,Greta Lee,cast,4,2026-08-14T08:03:26.209183+00:00,,,attached
Death Whisperer: Saming the Werebeast,Sahajak Boonthanakit,cast,4,2026-08-14T09:00:38.456899+00:00,,,attached
Inherit,Trin Settachoke,cast,4,2026-08-14T09:02:27.291075+00:00,,,attached
George Krish,Gopi Mohan,writer,,2026-08-15T07:58:52.221294+00:00,,,attached
George Krish,Nandu Savirigana,writer,,2026-08-15T07:58:52.221294+00:00,,,attached
Beautiful Pain,Tarra Budiman,cast,2,2026-08-15T08:01:15.248766+00:00,,,attached
Beautiful Pain,Baim Wong,cast,1,2026-08-15T08:01:15.248766+00:00,,,attached
Beautiful Pain,Sha Ine Febriyanti,cast,4,2026-08-15T08:01:15.248766+00:00,,,attached
Zootopia 3,Ke Huy Quan,cast,2,2026-08-15T08:02:34.676882+00:00,,,attached
